timestamp_us,can_id,direction,dlc,data_hex,decoded_uds_service
1185,0x07E0,TX,8,021003CCCCCCCCCC,ISO-TP SF len=2 | UDS REQ  DSC
1428,0x07E8,RX,8,065003003201F4CC,ISO-TP SF len=6 | UDS RESP DSC
1573,0x07E0,TX,8,021002CCCCCCCCCC,ISO-TP SF len=2 | UDS REQ  DSC
1591,0x07E8,RX,8,065002003201F4CC,ISO-TP SF len=6 | UDS RESP DSC
1632,0x07E0,TX,8,021102CCCCCCCCCC,ISO-TP SF len=2 | UDS REQ  ECUReset
1877,0x07E8,RX,8,025102CCCCCCCCCC,ISO-TP SF len=2 | UDS RESP ECUReset
2015,0x07E0,TX,8,021002CCCCCCCCCC,ISO-TP SF len=2 | UDS REQ  DSC
2044,0x07E8,RX,8,065002003201F4CC,ISO-TP SF len=6 | UDS RESP DSC
